order_id,delivery_status,actual_ship_days,scheduled_ship_days,shipping_mode
72533,Shipping on time,4,4,Standard Class
48608,Shipping on time,4,4,Standard Class
45506,Advance shipping,2,4,Standard Class
45027,Advance shipping,3,4,Standard Class
46308,Shipping on time,4,4,Standard Class
43685,Late delivery,6,4,Standard Class
41893,Shipping on time,4,4,Standard Class
46339,Late delivery,5,4,Standard Class
46667,Advance shipping,3,4,Standard Class
47647,Advance shipping,3,4,Standard Class
48565,Late delivery,6,4,Standard Class
43889,Late delivery,5,4,Standard Class
45138,Shipping on time,4,4,Standard Class
44160,Late delivery,6,4,Standard Class
49214,Late delivery,5,4,Standard Class
41825,Late delivery,6,4,Standard Class
44504,Late delivery,5,4,Standard Class
44496,Advance shipping,2,4,Standard Class
45559,Late delivery,5,4,Standard Class
44074,Late delivery,5,4,Standard Class
49857,Advance shipping,3,4,Standard Class
41786,Advance shipping,2,4,Standard Class
48042,Advance shipping,3,4,Standard Class
44301,Advance shipping,2,4,Standard Class
41591,Advance shipping,2,4,Standard Class
44981,Advance shipping,2,4,Standard Class
41545,Late delivery,6,4,Standard Class
49910,Late delivery,6,4,Standard Class
19590,Late delivery,6,4,Standard Class
43650,Late delivery,6,4,Standard Class
15202,Advance shipping,3,4,Standard Class
15462,Advance shipping,3,4,Standard Class
15155,Late delivery,6,4,Standard Class
64451,Advance shipping,2,4,Standard Class
67028,Shipping on time,4,4,Standard Class
62336,Advance shipping,2,4,Standard Class
11334,Late delivery,5,4,Standard Class
62885,Late delivery,6,4,Standard Class
66998,Shipping on time,4,4,Standard Class
47002,Advance shipping,3,4,Standard Class
63445,Late delivery,6,4,Standard Class
67566,Advance shipping,2,4,Standard Class
18884,Late delivery,5,4,Standard Class
18845,Late delivery,6,4,Standard Class
66854,Late delivery,5,4,Standard Class
46955,Late delivery,6,4,Standard Class
55002,Advance shipping,3,4,Standard Class
60445,Late delivery,6,4,Standard Class
53586,Advance shipping,2,4,Standard Class
56618,Shipping on time,4,4,Standard Class
51865,Late delivery,6,4,Standard Class
2937,Advance shipping,3,4,Standard Class
54446,Advance shipping,2,4,Standard Class
58623,Shipping on time,4,4,Standard Class
7411,Advance shipping,2,4,Standard Class
5348,Shipping on time,4,4,Standard Class
59742,Advance shipping,3,4,Standard Class
59498,Shipping on time,4,4,Standard Class
3459,Late delivery,5,4,Standard Class
8470,Late delivery,6,4,Standard Class
53455,Late delivery,6,4,Standard Class
2014,Late delivery,5,4,Standard Class
55899,Late delivery,5,4,Standard Class
52582,Advance shipping,3,4,Standard Class
56222,Advance shipping,3,4,Standard Class
57829,Late delivery,5,4,Standard Class
56217,Advance shipping,3,4,Standard Class
5893,Shipping on time,4,4,Standard Class
5528,Shipping on time,4,4,Standard Class
367,Advance shipping,3,4,Standard Class
52353,Shipping on time,4,4,Standard Class
1784,Late delivery,5,4,Standard Class
60317,Advance shipping,3,4,Standard Class
6776,Advance shipping,2,4,Standard Class
4487,Advance shipping,3,4,Standard Class
9681,Advance shipping,2,4,Standard Class
60868,Shipping on time,4,4,Standard Class
53231,Advance shipping,2,4,Standard Class
52601,Advance shipping,2,4,Standard Class
4660,Late delivery,6,4,Standard Class
3539,Late delivery,5,4,Standard Class
53231,Advance shipping,2,4,Standard Class
54488,Shipping on time,4,4,Standard Class
6776,Advance shipping,2,4,Standard Class
52549,Late delivery,5,4,Standard Class
60361,Advance shipping,2,4,Standard Class
8470,Late delivery,6,4,Standard Class
5712,Advance shipping,3,4,Standard Class
9309,Late delivery,5,4,Standard Class
8095,Late delivery,6,4,Standard Class
75892,Advance shipping,3,4,Standard Class
75891,Advance shipping,2,4,Standard Class
75890,Late delivery,6,2,Second Class
75889,Late delivery,5,4,Standard Class
75888,Shipping on time,4,4,Standard Class
75887,Advance shipping,3,4,Standard Class
75886,Shipping canceled,2,4,Standard Class
75885,Late delivery,6,2,Second Class
75884,Late delivery,5,4,Standard Class
75883,Late delivery,2,1,First Class
75882,Advance shipping,3,4,Standard Class
75881,Advance shipping,2,4,Standard Class
75880,Late delivery,6,4,Standard Class
75879,Late delivery,5,4,Standard Class
75878,Shipping on time,4,4,Standard Class
75877,Advance shipping,3,4,Standard Class
75876,Advance shipping,2,4,Standard Class
75875,Late delivery,6,2,Second Class
75874,Late delivery,5,4,Standard Class
75873,Shipping on time,4,4,Standard Class
75872,Advance shipping,3,4,Standard Class
75871,Late delivery,2,1,First Class
75870,Late delivery,2,1,First Class
75869,Late delivery,2,1,First Class
75868,Late delivery,2,1,First Class
75867,Shipping on time,0,0,Same Day
75866,Shipping on time,0,0,Same Day
75865,Shipping on time,0,0,Same Day
75864,Late delivery,5,4,Standard Class
75863,Shipping on time,4,4,Standard Class
75862,Advance shipping,3,4,Standard Class
75861,Advance shipping,2,4,Standard Class
75860,Late delivery,6,4,Standard Class
75859,Shipping canceled,5,4,Standard Class
75858,Late delivery,4,2,Second Class
75857,Advance shipping,3,4,Standard Class
75856,Shipping on time,2,2,Second Class
75855,Late delivery,2,1,First Class
75854,Late delivery,5,2,Second Class
75853,Late delivery,4,2,Second Class
75852,Advance shipping,3,4,Standard Class
75851,Advance shipping,2,4,Standard Class
75850,Late delivery,6,4,Standard Class
75849,Late delivery,5,4,Standard Class
75848,Late delivery,4,2,Second Class
75847,Shipping canceled,3,2,Second Class
75846,Advance shipping,2,4,Standard Class
75845,Late delivery,6,4,Standard Class
75844,Late delivery,5,4,Standard Class
75843,Late delivery,4,2,Second Class
75842,Advance shipping,3,4,Standard Class
75841,Advance shipping,2,4,Standard Class
75840,Late delivery,6,2,Second Class
75839,Late delivery,5,2,Second Class
75838,Late delivery,2,1,First Class
75837,Late delivery,2,1,First Class
75836,Shipping on time,2,2,Second Class
75835,Late delivery,6,2,Second Class
75834,Late delivery,5,2,Second Class
75833,Late delivery,2,1,First Class
75832,Late delivery,2,1,First Class
75831,Late delivery,2,1,First Class
75830,Late delivery,6,4,Standard Class
75829,Late delivery,5,4,Standard Class
75828,Shipping on time,4,4,Standard Class
75827,Advance shipping,3,4,Standard Class
75826,Advance shipping,2,4,Standard Class
75825,Late delivery,6,4,Standard Class
75824,Late delivery,5,4,Standard Class
75823,Shipping on time,4,4,Standard Class
75822,Advance shipping,3,4,Standard Class
75821,Advance shipping,2,4,Standard Class
75820,Late delivery,6,4,Standard Class
75819,Late delivery,5,4,Standard Class
75818,Shipping on time,4,4,Standard Class
75817,Advance shipping,3,4,Standard Class
75816,Advance shipping,2,4,Standard Class
75815,Late delivery,6,4,Standard Class
75814,Late delivery,5,4,Standard Class
75813,Late delivery,4,2,Second Class
75812,Late delivery,3,2,Second Class
75811,Late delivery,2,1,First Class
75810,Late delivery,6,2,Second Class
75809,Late delivery,5,2,Second Class
75808,Late delivery,4,2,Second Class
75807,Late delivery,1,0,Same Day
75806,Late delivery,1,0,Same Day
75805,Late delivery,1,0,Same Day
75804,Late delivery,1,0,Same Day
75803,Late delivery,1,0,Same Day
75802,Shipping canceled,1,0,Same Day
75801,Late delivery,1,0,Same Day
75800,Late delivery,6,4,Standard Class
75799,Late delivery,5,4,Standard Class
75798,Shipping on time,4,4,Standard Class
75797,Advance shipping,3,4,Standard Class
5895,Late delivery,6,2,Second Class
3130,Late delivery,6,2,Second Class
49521,Shipping on time,2,2,Second Class
30305,Late delivery,6,2,Second Class
50054,Late delivery,5,2,Second Class
27772,Late delivery,3,2,Second Class
47752,Late delivery,3,2,Second Class
31296,Shipping on time,2,2,Second Class
22076,Shipping on time,2,2,Second Class
25665,Late delivery,6,2,Second Class
31296,Shipping on time,2,2,Second Class
22819,Late delivery,5,2,Second Class
27099,Late delivery,5,2,Second Class
28292,Late delivery,3,2,Second Class
39159,Late delivery,5,2,Second Class
32090,Late delivery,6,2,Second Class
34631,Shipping on time,2,2,Second Class
37669,Late delivery,5,2,Second Class
37669,Late delivery,5,2,Second Class
34773,Late delivery,4,2,Second Class
40085,Late delivery,6,2,Second Class
47262,Late delivery,3,2,Second Class
44771,Shipping on time,2,2,Second Class
13890,Late delivery,6,2,Second Class
17071,Shipping on time,2,2,Second Class
11321,Shipping on time,2,2,Second Class
64813,Late delivery,4,2,Second Class
17162,Late delivery,3,2,Second Class
12827,Late delivery,3,2,Second Class
11936,Shipping on time,2,2,Second Class
68337,Late delivery,3,2,Second Class
45746,Shipping on time,2,2,Second Class
64813,Late delivery,4,2,Second Class
13736,Shipping on time,2,2,Second Class
49622,Late delivery,3,2,Second Class
19444,Late delivery,5,2,Second Class
63936,Shipping on time,2,2,Second Class
49622,Late delivery,3,2,Second Class
51911,Shipping on time,2,2,Second Class
58239,Late delivery,5,2,Second Class
56678,Late delivery,4,2,Second Class
53202,Late delivery,3,2,Second Class
58738,Late delivery,4,2,Second Class
56260,Late delivery,6,2,Second Class
5042,Late delivery,3,2,Second Class
53202,Late delivery,3,2,Second Class
55511,Shipping on time,2,2,Second Class
54128,Late delivery,4,2,Second Class
21244,Late delivery,5,2,Second Class
47752,Late delivery,3,2,Second Class
31239,Late delivery,5,2,Second Class
45772,Late delivery,3,2,Second Class
24661,Shipping on time,2,2,Second Class
50054,Late delivery,5,2,Second Class
22924,Late delivery,5,2,Second Class
21902,Late delivery,3,2,Second Class
21534,Late delivery,5,2,Second Class
45461,Shipping on time,2,2,Second Class
24160,Late delivery,6,2,Second Class
39159,Late delivery,5,2,Second Class
32102,Late delivery,3,2,Second Class
37763,Late delivery,4,2,Second Class
37867,Late delivery,3,2,Second Class
31905,Late delivery,6,2,Second Class
36269,Late delivery,5,2,Second Class
37867,Late delivery,3,2,Second Class
40085,Late delivery,6,2,Second Class
40085,Late delivery,6,2,Second Class
48374,Late delivery,5,2,Second Class
48434,Late delivery,5,2,Second Class
17719,Late delivery,5,2,Second Class
15766,Shipping on time,2,2,Second Class
12179,Late delivery,5,2,Second Class
66275,Late delivery,6,2,Second Class
13140,Late delivery,6,2,Second Class
16444,Late delivery,5,2,Second Class
15766,Shipping on time,2,2,Second Class
65030,Late delivery,6,2,Second Class
14454,Late delivery,5,2,Second Class
13736,Shipping on time,2,2,Second Class
67979,Late delivery,5,2,Second Class
65030,Late delivery,6,2,Second Class
66275,Late delivery,6,2,Second Class
65264,Late delivery,5,2,Second Class
11936,Shipping on time,2,2,Second Class
13890,Late delivery,6,2,Second Class
51226,Shipping on time,2,2,Second Class
52576,Shipping on time,2,2,Second Class
53202,Late delivery,3,2,Second Class
67753,Late delivery,4,2,Second Class
15421,Shipping on time,2,2,Second Class
13225,Late delivery,6,2,Second Class
71362,Late delivery,3,2,Second Class
13232,Late delivery,3,2,Second Class
67753,Late delivery,4,2,Second Class
68879,Late delivery,5,2,Second Class
65487,Late delivery,3,2,Second Class
65105,Late delivery,6,2,Second Class
14837,Late delivery,3,2,Second Class
46224,Late delivery,5,2,Second Class
71217,Late delivery,3,2,Second Class
63972,Late delivery,3,2,Second Class
19200,Late delivery,6,2,Second Class
18009,Late delivery,5,2,Second Class
10831,Shipping on time,2,2,Second Class
68107,Late delivery,3,2,Second Class
15421,Shipping on time,2,2,Second Class
71271,Shipping on time,2,2,Second Class
68879,Late delivery,5,2,Second Class
65487,Late delivery,3,2,Second Class
16953,Late delivery,4,2,Second Class
49664,Late delivery,5,2,Second Class
16446,Shipping on time,2,2,Second Class
10831,Shipping on time,2,2,Second Class
14960,Late delivery,6,2,Second Class
18005,Late delivery,6,2,Second Class
10831,Shipping on time,2,2,Second Class
12804,Late delivery,5,2,Second Class
14651,Shipping on time,2,2,Second Class
10990,Late delivery,6,2,Second Class
65609,Late delivery,5,2,Second Class
17878,Late delivery,4,2,Second Class
16998,Late delivery,4,2,Second Class
13970,Late delivery,6,2,Second Class
10990,Late delivery,6,2,Second Class
13614,Late delivery,5,2,Second Class
44388,Late delivery,4,2,Second Class
13050,Late delivery,6,2,Second Class
12613,Late delivery,4,2,Second Class
66587,Late delivery,3,2,Second Class
62795,Late delivery,6,2,Second Class
18950,Late delivery,6,2,Second Class
19610,Late delivery,6,2,Second Class
65011,Shipping on time,2,2,Second Class
19380,Late delivery,6,2,Second Class
65005,Late delivery,6,2,Second Class
20085,Late delivery,6,2,Second Class
18245,Late delivery,6,2,Second Class
17810,Late delivery,6,2,Second Class
19817,Late delivery,3,2,Second Class
10444,Late delivery,5,2,Second Class
64637,Late delivery,3,2,Second Class
15269,Late delivery,5,2,Second Class
14064,Late delivery,5,2,Second Class
14551,Shipping on time,2,2,Second Class
12698,Late delivery,4,2,Second Class
47758,Late delivery,4,2,Second Class
68220,Late delivery,6,2,Second Class
14730,Late delivery,6,2,Second Class
66411,Shipping on time,2,2,Second Class
12535,Late delivery,6,2,Second Class
67712,Late delivery,3,2,Second Class
18593,Late delivery,4,2,Second Class
17909,Late delivery,5,2,Second Class
16302,Late delivery,3,2,Second Class
14730,Late delivery,6,2,Second Class
13343,Late delivery,4,2,Second Class
62117,Late delivery,3,2,Second Class
62637,Late delivery,3,2,Second Class
67845,Late delivery,6,2,Second Class
67712,Late delivery,3,2,Second Class
11209,Late delivery,5,2,Second Class
41494,Late delivery,5,2,Second Class
18593,Late delivery,4,2,Second Class
13343,Late delivery,4,2,Second Class
62637,Late delivery,3,2,Second Class
70044,Late delivery,5,2,Second Class
67753,Late delivery,4,2,Second Class
16617,Late delivery,3,2,Second Class
14574,Late delivery,5,2,Second Class
12698,Late delivery,4,2,Second Class
15599,Late delivery,5,2,Second Class
13343,Late delivery,4,2,Second Class
20072,Late delivery,3,2,Second Class
12323,Late delivery,4,2,Second Class
71295,Late delivery,6,2,Second Class
66351,Shipping on time,2,2,Second Class
12698,Late delivery,4,2,Second Class
44148,Late delivery,4,2,Second Class
53540,Late delivery,6,4,Standard Class
53069,Late delivery,5,4,Standard Class
57570,Late delivery,6,4,Standard Class
5154,Late delivery,5,4,Standard Class
9122,Advance shipping,3,4,Standard Class
4427,Advance shipping,3,4,Standard Class
9340,Late delivery,6,4,Standard Class
9331,Advance shipping,2,4,Standard Class
58315,Late delivery,6,4,Standard Class
54572,Advance shipping,3,4,Standard Class
51746,Advance shipping,2,4,Standard Class
4269,Late delivery,5,4,Standard Class
61346,Advance shipping,2,4,Standard Class
1999,Late delivery,5,4,Standard Class
53576,Advance shipping,2,4,Standard Class
57152,Advance shipping,3,4,Standard Class
51674,Late delivery,5,4,Standard Class
55336,Advance shipping,2,4,Standard Class
53810,Late delivery,6,4,Standard Class
59301,Advance shipping,2,4,Standard Class
8410,Late delivery,6,4,Standard Class
8123,Shipping on time,4,4,Standard Class
60567,Advance shipping,3,4,Standard Class
2203,Shipping on time,4,4,Standard Class
3527,Advance shipping,3,4,Standard Class
2428,Shipping on time,4,4,Standard Class
55174,Late delivery,5,4,Standard Class
57032,Advance shipping,3,4,Standard Class
10113,Shipping on time,4,4,Standard Class
52250,Late delivery,6,4,Standard Class
8906,Advance shipping,2,4,Standard Class
1386,Advance shipping,2,4,Standard Class
59226,Advance shipping,2,4,Standard Class
8847,Advance shipping,3,4,Standard Class
57929,Late delivery,5,4,Standard Class
53505,Late delivery,6,4,Standard Class
55636,Advance shipping,2,4,Standard Class
57128,Shipping on time,4,4,Standard Class
8728,Shipping on time,4,4,Standard Class
1105,Late delivery,6,4,Standard Class
1797,Advance shipping,3,4,Standard Class
1634,Late delivery,5,4,Standard Class
53576,Advance shipping,2,4,Standard Class
10113,Shipping on time,4,4,Standard Class
6176,Shipping canceled,2,4,Standard Class
60460,Shipping canceled,6,4,Standard Class
580,Shipping canceled,6,4,Standard Class
56244,Shipping canceled,5,4,Standard Class
6522,Shipping canceled,3,4,Standard Class
58298,Shipping canceled,4,4,Standard Class
3625,Shipping canceled,6,4,Standard Class
52321,Shipping canceled,2,4,Standard Class
58896,Shipping canceled,2,4,Standard Class
5919,Shipping canceled,5,4,Standard Class
52772,Shipping canceled,3,4,Standard Class
9063,Shipping canceled,4,4,Standard Class
61419,Shipping canceled,5,4,Standard Class
5919,Shipping canceled,5,4,Standard Class
27742,Shipping canceled,3,4,Standard Class
24453,Shipping canceled,4,4,Standard Class
31145,Shipping canceled,6,4,Standard Class
30802,Advance shipping,3,4,Standard Class
25875,Late delivery,6,4,Standard Class
30589,Late delivery,5,4,Standard Class
20931,Advance shipping,2,4,Standard Class
45646,Advance shipping,2,4,Standard Class
29731,Advance shipping,2,4,Standard Class
42777,Advance shipping,3,4,Standard Class
23886,Advance shipping,2,4,Standard Class
43561,Advance shipping,2,4,Standard Class
47846,Advance shipping,2,4,Standard Class
21192,Advance shipping,3,4,Standard Class
23156,Advance shipping,2,4,Standard Class
22811,Advance shipping,2,4,Standard Class
25418,Shipping on time,4,4,Standard Class
47092,Advance shipping,3,4,Standard Class
42658,Shipping on time,4,4,Standard Class
23494,Late delivery,5,4,Standard Class
27316,Advance shipping,2,4,Standard Class
20931,Advance shipping,2,4,Standard Class
27555,Late delivery,6,4,Standard Class
28657,Advance shipping,3,4,Standard Class
47011,Advance shipping,2,4,Standard Class
47846,Advance shipping,2,4,Standard Class
21973,Shipping on time,4,4,Standard Class
50226,Advance shipping,2,4,Standard Class
44617,Advance shipping,3,4,Standard Class
21196,Advance shipping,2,4,Standard Class
21193,Shipping on time,4,4,Standard Class
26073,Shipping on time,4,4,Standard Class
44425,Late delivery,6,4,Standard Class
49570,Late delivery,6,4,Standard Class
42099,Late delivery,5,4,Standard Class
47731,Advance shipping,2,4,Standard Class
46062,Advance shipping,3,4,Standard Class
44938,Shipping on time,4,4,Standard Class
